id;descrizioneCompleta;Peso;;produttore;;;;;;;;;;;;;;
CERRIS32;Riso Carnaroli semilavorato kg 1;Riso Carnaroli semilavorato kg 1;kg;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERRIS34;Riso Maratelli integrale kg 1;Riso Maratelli integrale kg 1;kg;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERRIS35;Riso Maratelli semilavorato kg 1;Riso Maratelli semilavorato kg 1;kg;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERRIS37;Riso Carnaroli bianco kg 1;Riso Carnaroli bianco kg 1;kg;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERRIS38;Riso Gange aromatico semilavorato kg 1;Riso Gange aromatico semilavorato kg 1;kg;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CARBCBOCCONCI3;Bocconcini di coniglio g 300;Bocconcini di coniglio g 300;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBCCOSCE2;Cosce di coniglio g 650;Cosce di coniglio g 650;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBCCOSCEANT2;Spallette di coniglio g 400;Spallette di coniglio g 400;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBCDISOSSAT2;Coniglio disossato kg 1;Coniglio disossato kg 1;kg;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBCPORZ2;Coniglio porzionato senza testa e senza fegato kg 2;Coniglio porzionato senza testa e senza fegato kg 2;kg;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBCSOTFILET1;Sottofiletto di coniglio a fette g 250;Sottofiletto di coniglio a fette g 250;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBCSVIZZERE2;Svizzere di coniglio g 100 cadauna g 200;Svizzere di coniglio g 100 cadauna g 200;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPALI2;Ali di pollo g 500;500;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPBOCCONCI3;Spezzatino di pollo g 300;Spezzatino di pollo g 300;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPCOSCE2;Coscia di pollo g 400;Coscia di pollo g 400;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPCOSCIADIS2;Cosce coniglio disossate g 400;Cosce coniglio disossate g 400;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPCOSCIADIS3;Coscia pollo disossata g 400;Coscia pollo disossata g 400;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPFUSI1;Fuselli di pollo g 400;Fuselli di pollo g 400;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPGALLINA1;Gallinella intera senza fegato e durello kg 1,2;Gallinella intera senza fegato e durello kg 1,2;kg;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPPETTOFETT1;Petto di pollo a fette g 250;Petto di pollo a fette g 250;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPPETTOINT1;Petto di pollo intero g 600;Petto di pollo intero g 600;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPPORZIONAT2;Pollo porzionato senza fegato e durello kg 1;Pollo porzionato senza fegato e durello kg 1;kg;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPROLATAC4;Rolatina di coniglio g 300;Rolatina di coniglio g 300;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPROLATINE1;Rolatina di pollo g 300;Rolatina di pollo g 300;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPSOVRCOSCE2;Sovracoscia di pollo g 400;Sovracoscia di pollo g 400;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPSVIZZERE1;Svizzere di tacchino g 125 cadauna g 250;Svizzere di tacchino g 125 cadauna g 250;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBPSVIZZERE2;Svizzere di pollo g 100 cadauna g 200;Svizzere di pollo g 100 cadauna g 200;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBTBOCCONCINI;Bocconcini di tacchino g 300;Bocconcini di tacchino g 300;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
